flow_duration,total_fwd_packets,total_bwd_packets,fwd_packet_length_max,bwd_packet_length_max,flow_bytes_per_sec,flow_packets_per_sec,syn_flag_count,ack_flag_count,rst_flag_count,label
62,1,1,0,0,0.0,32258.06452,1,1,1,PortScan
5865829,8,4,20,7215,1980.112274,2.045746646,2,11,1,DDoS
12107685,9,6,20,5840,959.3080758,1.238882577,2,14,1,DDoS
479,1,1,44,44,183716.0752,4175.365344,0,0,0,Normal
8289518,9,6,20,4380,1401.167112,1.809514136,2,14,1,DDoS
755,2,2,42,102,381456.9536,5298.013245,0,0,0,Normal
3093943,8,4,20,8675,3754.109239,3.87854592,2,11,1,DDoS
4106051,8,7,20,7300,2828.752005,3.653145078,2,14,1,DDoS
119416371,25,22,463,2901,95.62340493,0.393580877,2,46,0,Normal
23845,1,1,55,116,7171.314741,83.87502621,0,0,0,Normal
50967,1,1,0,0,0.0,39.24107756,1,1,1,Normal
11795449,8,4,20,11595,984.7018117,1.017341519,2,11,1,DDoS
23797,2,2,35,100,11345.96798,168.0884145,0,0,0,Normal
10709673,8,7,20,4380,1084.53358,1.400602988,2,14,1,DDoS
3296882,8,6,20,4380,3523.025695,4.246436481,2,13,1,DDoS
8138214,9,6,20,10135,1427.217323,1.84315625,2,14,1,DDoS
10538104,9,7,20,4380,1102.190679,1.518299687,2,15,1,DDoS
11791830,9,6,20,4380,985.004024,1.272067186,2,14,1,DDoS
117620685,15,14,361,1430,51.2749947,0.246555272,2,28,0,Normal
8839743,8,6,20,5840,1313.952227,1.583756451,2,13,1,DDoS
611,1,1,0,0,0.0,3273.322422,1,1,1,BruteForce
117547597,26,27,422,2048,109.86188,0.450881186,2,52,0,Normal
561,1,1,0,0,0.0,3565.062389,1,1,1,BruteForce
2871358,8,6,20,4380,4045.124293,4.875741722,2,13,1,DDoS
32965,1,1,64,96,4853.632641,60.67040801,0,0,0,Normal
247203,9,5,20,7215,46985.67574,56.63361691,2,13,1,DDoS
169,2,2,41,127,1988165.68,23668.63905,0,0,0,Normal
87074616,2,2,41,101,2.733287965,0.045937613,0,0,0,Normal
23564,1,1,47,79,5347.139705,84.87523341,0,0,0,Normal
23579,1,1,50,66,4919.631876,84.82123924,0,0,0,Normal
21,13,0,50,0,30952380.95,619047.619,0,0,0,Normal
16425,1,1,48,48,5844.748858,121.7656012,0,0,0,Normal
46407,1,1,48,105,3296.916413,43.09694658,0,0,0,Normal
593811,7,5,20,10135,19560.09572,20.20845016,2,11,1,DDoS
48505,2,2,33,114,6061.230801,82.46572518,0,0,0,Normal
84581141,2,2,52,295,5.367626809,0.047291866,0,0,0,Normal
64318195,4,4,48,48,5.970316798,0.1243816,0,0,0,Normal
7265018,9,6,20,4380,1598.757223,2.064688622,2,14,1,DDoS
5946841,8,6,20,4380,1953.137809,2.354191074,2,13,1,DDoS
76174,1,1,56,93,1956.047995,26.25567779,0,0,0,Normal
7428806,9,6,20,5840,1563.508322,2.01916701,2,14,1,DDoS
4040314,9,4,20,11595,2874.776564,3.217571704,2,12,1,DDoS
293,2,2,40,56,655290.1024,13651.87713,0,0,0,Normal
31086,2,2,89,171,16727.78743,128.6752879,0,0,0,Normal
3,2,0,62,0,41333333.33,666666.6667,0,0,0,Normal
213,2,2,30,132,1521126.761,18779.34272,0,0,0,Normal
6046792,8,6,20,4380,1920.853239,2.315277258,2,13,1,DDoS
67908,1,1,48,48,1413.677328,29.451611,0,0,0,Normal
10964721,8,6,20,5840,1059.306479,1.276822274,2,13,1,DDoS
31688,2,2,36,73,6879.575865,126.2307498,0,0,0,Normal
4,2,0,62,0,31000000.0,500000.0,0,0,0,Normal
249,2,2,28,284,2506024.096,16064.25703,0,0,0,Normal
590,1,1,0,0,0.0,3389.830508,1,1,1,BruteForce
23441,1,1,55,71,5375.197304,85.32059212,0,0,0,Normal
11931706,8,8,20,2920,973.4567714,1.340964989,2,15,1,DDoS
111031684,13,13,689,409,9.889069142,0.234167393,0,26,0,Normal
184,2,2,41,76,1271739.13,21739.13043,0,0,0,Normal
2858680,10,7,20,5840,4063.064072,5.946800621,2,16,1,DDoS
54604,4,2,30,308,13478.86602,109.8820599,0,0,0,Normal
162,2,2,32,128,1975308.642,24691.35802,0,0,0,Normal
50377,1,1,60,100,3176.052564,39.70065705,0,0,0,Normal
2373676,9,5,20,10135,4893.254176,5.898024836,2,13,1,DDoS
1093457,48,34,1313,1621,18369.26372,74.99151773,4,80,0,Normal
525445,1,1,64,117,344.4699255,3.806297519,0,0,0,Normal
60951,2,2,41,155,6431.395711,65.62648685,0,0,0,Normal
60283,1,1,39,55,1559.311912,33.17684919,0,0,0,Normal
679,1,1,43,87,191458.0265,2945.5081,0,0,0,Normal
60888,4,2,34,50,3875.968992,98.54158455,0,0,0,Normal
5061012,8,6,20,5840,2294.995546,2.76624517,2,13,1,DDoS
23636,2,2,56,138,16415.63716,169.2333728,0,0,0,Normal
2725942,8,5,20,4380,4260.912375,4.768993618,2,12,1,DDoS
50377,1,1,50,109,3156.202235,39.70065705,0,0,0,Normal
833,1,1,53,113,199279.7119,2400.960384,0,0,0,Normal
180825,1,1,42,166,1150.283423,11.06041753,0,0,0,Normal
508,1,1,0,0,0.0,3937.007874,1,1,1,BruteForce
